# 18 out of 18 mutations
12 #trees
8_12_13_19_40 33_47_56_58_70_78_79
45 36_59
45 24_39_42_49_52_53_55_57_72_81
45 54_62_64_65_87
50 66_69
50 73
67 86
17 #edges, tree 8
0 2_3
0 9
0 1_4_6_14_15_16_21_28_31_32
0 5_7_10_11_17_18_20_22_23_38
2_3 8_12_13_19_40
2_3 27_35_48
9 25_26_30_34_41_44_60_63_68_74_75
5_7_10_11_17_18_20_22_23_38 67
8_12_13_19_40 45
8_12_13_19_40 50
8_12_13_19_40 33_47_56_58_70_78_79
45 36_59
45 24_39_42_49_52_53_55_57_72_81
45 54_62_64_65_87
50 66_69
67 86
66_69 73
17 #edges, tree 9
66_69 73
67 86
50 33_47_56_58_70_78_79
50 66_69
45 54_62_64_65_87
45 24_39_42_49_52_53_55_57_72_81
45 36_59
8_12_13_19_40 50
8_12_13_19_40 45
5_7_10_11_17_18_20_22_23_38 67
9 25_26_30_34_41_44_60_63_68_74_75
2_3 27_35_48
2_3 8_12_13_19_40
0 5_7_10_11_17_18_20_22_23_38
0 1_4_6_14_15_16_21_28_31_32
0 9
0 2_3
17 #edges, tree 10
67 86
50 33_47_56_58_70_78_79
50 73
50 66_69
45 54_62_64_65_87
45 24_39_42_49_52_53_55_57_72_81
45 36_59
8_12_13_19_40 50
8_12_13_19_40 45
5_7_10_11_17_18_20_22_23_38 67
9 25_26_30_34_41_44_60_63_68_74_75
2_3 27_35_48
2_3 8_12_13_19_40
0 5_7_10_11_17_18_20_22_23_38
0 1_4_6_14_15_16_21_28_31_32
0 9
0 2_3
17 #edges, tree 11
66_69 73
67 86
50 66_69
45 54_62_64_65_87
45 24_39_42_49_52_53_55_57_72_81
45 33_47_56_58_70_78_79
45 36_59
8_12_13_19_40 50
8_12_13_19_40 45
5_7_10_11_17_18_20_22_23_38 67
9 25_26_30_34_41_44_60_63_68_74_75
2_3 27_35_48
2_3 8_12_13_19_40
0 5_7_10_11_17_18_20_22_23_38
0 1_4_6_14_15_16_21_28_31_32
0 9
0 2_3
17 #edges, tree 12
67 86
50 73
50 66_69
45 54_62_64_65_87
45 24_39_42_49_52_53_55_57_72_81
45 33_47_56_58_70_78_79
45 36_59
8_12_13_19_40 50
8_12_13_19_40 45
5_7_10_11_17_18_20_22_23_38 67
9 25_26_30_34_41_44_60_63_68_74_75
2_3 27_35_48
2_3 8_12_13_19_40
0 5_7_10_11_17_18_20_22_23_38
0 1_4_6_14_15_16_21_28_31_32
0 9
0 2_3
